company,company_location,company_size,company_url,degree,description,experience,industry,job_link,location,number_to_recruit,register_type,salary,title
满金坝（深圳）科技有限公司,深圳市福田区华强北路群星广场A座24楼,100-499人,https://www.manjd.com/home,大专,"['技能要求:', 'C#/.NET', '职位描述', '岗位职责：', '1、参与系统平台和项目的设计、开发、维护和管理；', '2、制定开发计划，独立完成模块级的设计及规划,负责核心及模块源代码的编写', '3. 主导PC端即时通讯聊天系统的整体设计、任务安排、WPF界面开发、核心代码重构', '任职要求：', '1. 6年以上.Net开发工作经验，有即时通讯平台研发经验', '2. 对.Net技术有深入研究，熟练掌握TCP/UDP, 多线程及异步编程。', '3. 精通WPF框架，擅长WPF控件的定制开发，在数据传输较大，操作密集的情况下能保证用户界面的展示与操作的流畅性，能解决多线程并发造成的线程阻塞，界面卡顿等问题', '4. 具有较强的面向对象的分析、设计、开发能力，熟悉多种设计模式，能遵循良好的编程规范；', '5.熟悉SQLite数据库，能开发高性能本地数据库；', '6. 良好的职业素质、团队合作精神和团队沟通能力；', '查看全部內容']",5-10年,互联网/电子商务,CC535117221J00259153403.html,深圳,招1人,民营,18000-25000元/月,.net WPF高级开发工程师
深圳途阳电子商务有限公司,龙华区龙观路与清泉路交汇处中执NEX ONE三楼325室,20-99人,,中专,"['技能要求:', '\ufeff销售，售前支持，售后支持', '职位描述', '1.', '打字速度快，', '专业能力过硬，能够快速解决客户的顾虑；', '2.', '态度谦和，语气亲切，', '承接好前来咨询的客户，引导客户下单，完成销售业绩；', '3.', '处理好店铺的售后问题，降低退款率；', '4. 及时查看后台订单，对于已经下单的订单及时发货，核实客户收货地址；', '5. 将店铺后台订单情况反馈给店铺运营，及时调整运营策略；', '6.每月都有评选优秀员工等奖项，还有现金奖励；', '7.当个人业绩达到标准时，还有年终分红奖励。', '查看全部內容']",1-3年,互联网/电子商务,CZ819993820J00286207307.html,深圳,招1人,民营,6001-8000元/月,淘宝客服（高底薪高提成+弹性工作）
上海兔子玲商贸有限公司,上海市自由贸易试验区世博大道1368号第G层4G02-25室,20人以下,,学历不限,"['职位描述', '工作时间：早', '10:00~晚22：00，做一休一，可调整。', '吃苦耐劳', '诚实守信\xa0对母婴产品有一定了解\xa0有宝宝的妈妈优先考虑。', '基本工资加提成、全勤奖、节日福利、店内母婴产品员工优惠价。', '*日常维护店面货柜、收银台清洁', '*保持店面货柜及仓库货物数量合理平衡', '*销售商品 笑迎客户 / 按线上订单发送快递', '*及时对到店产品 盘点入库上货架', '*配合商场管理 积极学习产品知识', 'QTOOLS已拥有全国200多个区域、300多家门店\xa0，与众多知名进口品牌精诚合作。浦东世博源店作为上海首店，自开业以来不断得到客人们的信任与喜爱。现因', '上海陆家嘴中心', '商城开立分店，原店扩大规模需增加人员', '我们寻找的你', '耐心，热情，充满亲和力，没有经验没关系\xa0最重要你善良\xa0有爱心\xa0有责任感\xa0QTOOLS期待你的加入！', '查看全部內容']",经验不限,零售/批发,CZ718757780J00116407303.html,上海,招2人,民营,4000-8000元/月,世博源 母婴店店员
浙江链家房地产经纪有限公司,杭州市萧山区广孚联合国际中心九层,10000人以上,,大专,"['职位描述', '链家集团2001年创立于北京，是一家集地产经纪、互联网科技、地产金融、资产管理于一体的集团企业，是具有全产业链服务能力的房产020平台。杭州链家房地产经纪有限公司创立于2012年，是链家集团旗下杭州分公司。 杭州链家起步高端，面向杭州市民及企事业单位提供不动产交易、房屋租赁、营销代理、资产管理和地产金融业务等服务。', '【选择杭州链家的十大理由】', '1.大平台、大标地；', '2.接触高端客户，提升自己能力、开拓视野；', '3.团队氛围和谐、轻松；', '4.明确的行程管理系统，帮助管控员工行为，有助攻、更成功；', '5.合伙人制度，为自己的梦想奋斗；', '6.红黄线制度避免恶性竞争，减少内耗；', '7.APP先进，录音系统、立即看等工具提高效率；', '8.房源系统简洁明朗，配盘效率高；', '9.培训课程丰富多彩，人员成长快；', '10.后台能力强、效率高，没有后顾之忧。', '——————————————————————————————————————', '【薪资待遇】', '1、薪资待遇：绝对优于同行业！转正前：底薪4000元（最长6个月）；转正后：高额提成+保障薪资3000元-5000元+带薪年假，月均薪资8000-12000；', '2、惊喜连连：五险二金（公积金自选+互助金）+苹果手机+各种现金奖励+过节福利+国内游/境外游等；', '3、带薪培训：公司提供免费系统完善的培训，助您全面提升个人能力', '4、晋升通道：凭借个人的实力，入职按能力享受职级，每月都有机会晋升。所有管理岗位均从内部员工提拔产生：经纪人→店经理→商圈经理→片区总监→分公司总经理……', '5、业务模式：多样化、财富化。我们打破传统意义上的业务划分，员工可自由开展买卖、租赁和新盘业务。', '6、资源共享、团队作战：公司资源共享平台，“黄金搭档”助你快速成长，快速签单。', '7、就近分配：350家门店遍布杭州市区范围内，可就近分配工作地址；', '——————————————————————————————————————', '【你的工作】', '1、新员工入店，熟悉了解所在门店周边的环境，包括门店、小区、街道，周边配套设施等；', '2、在店内与客户电话沟通，把手上非常优质的好房子推荐给客户；', '3、积累客户与房源资源，每天保持联系，维护关系；', '4、详细了解客户的需求点，根据客户意向，带客户看房并进行房子优劣势分析；', '5、与房东客户进行三方面谈，促成房子成交，从中收取佣金；', '6、为客户提供优质的全程服务。', '——————————————————————————————————————', '【任职要求】', '1、20-35岁，全日制统招大专及以上学历；', '2、有无工作经验均可（公司提供带薪培训），如有本行业经验的可以高级别入职；', '3、户籍、性别、专业不限', '4、性格外向开朗，能吃苦耐劳，具团队合作精神；', '5、热爱房地产事业，敢挑战高薪、突破自我；', '6、要有良好的心理素质,具备在困难、挫折、艰苦的逆境中生存的能力；', '7、应届毕业生优先录用。', '——————————————————————————————————————', '总部地址：杭州市广孚联合国际中心9楼 链家地产', '工作地址：全杭州350多家门店就近安排。上城区、下城区、西湖区、江干区、滨江区、余杭区都有门店。', '查看全部內容']",经验不限,中介服务,CC513429627J00108606803.html,杭州,招10人,民营,8001-10000元/月,链家聘销售代表储备经理大客户销售实习生
深圳市环球易购电子商务有限公司,深圳市南山区东滨路与南光路交汇处，永新汇3号楼,1000-9999人,http://www.globalegrow.com,本科,"['职位描述', '岗位职责:', '1. 负责法语平台（CD/PM/AmazoneBay/Fnac等法语平台）账号正常运营,店铺管理及维护,制定营销计划,翻译产品资料上传产品,优化产品页面,处理订单并跟进,确保账户安全并维护账号；', '2. 调查分析市场及竞争对手状况,制定推广计划销售策略；站外渠道推广引流；努力推进产品排名, 提高销量,根据产品情况调整策略；', '3.负责处理客户问题,提供优质售后客服,避免争议的发生,保持账号好评率和良好的信用度；', '4.定期统计销售数据,库存数据,RMA等,及时调整销售策略,保持较好的库存周转率和库存量的安全；', '5. 按时按量完成上司临时安排的工作任务,完成公司规定的销售目标。', '任职资格:', '1.本科以上学历,法语专四或者B1以上水平,法语听说能力良好,读写能力优秀,英语CET-4以上；', '2.熟悉了解B2C平台,有一年以上法语平台销售经验并了解所有操作规则,擅长推广运营者优先；', '3.有较强的网络销售能力, 能独立完成产品的整个销售过程,了解异国的商业规范；', '4.熟练使用数据处理等办公软件,小语种键盘操作熟练；', '5.沟通能力强,有高度责任心,能承受压力,有团队合作精神,外向.乐观,有较强的学习能力,为人踏实.诚恳,对电子商务有兴趣和激情；', '6.无经验者可以从助理做起,欢迎优秀的应届毕业生应聘。', '【环球易购诚邀您的加入】', '选平台：创建于2007年，现在职员工有5000多人。于2014年9月份与百圆裤业（2015年6月12日起更名为跨境通）并购上市，成为国内第一家在A股主板上市的跨境电商企业（SZ002640），是中国最大的垂直类B2C跨境电商企业。每年业绩近100%增长。大平台，实力雄厚！', '谈薪酬：富有行业竞争力的全面薪酬，转正后底薪、绩效、全勤奖、年末红包、优秀员工奖、激励计划、只要你努力，升职加薪不是梦！', '论发展：入职培训、技能培训、户外拓展、导师制！为员工搭建Y字形双通道发展路径。', '说保障\xa0：', '1）社会保险及住房公积金福利待遇；', '2）应届生和入职满半年可以办理深圳落户，做美丽深圳的主人；', '3）司龄满一年可享受公司提供的年度健康体检福利；', '话人文：', '1）悠闲下午茶，抛开工作畅谈生活，也可自助阅读公司购买专业书籍；', '2）国家传统的节日，为员工送上节日的祝福及礼品；', '3）与外国同事一起开启语言学习快速通道，各种Party High到爆；', '4）周三篮球活动、周五羽毛球活动、并每月组织足球活动；', '5）不定期部门聚餐（K歌、轰趴、饭局、看电影、啃爆米花）；', '6）大型年会，美女帅哥齐聚一堂，能歌善舞，嗨过演唱会；', '7）公司自己的电影播放厅，一场既有可乐又有爆米花的约会。', '查看全部內容']",经验不限,互联网/电子商务,426256413251086.html,深圳,招10人,上市公司,8001-10000元/月,法语运营助理/专员
深圳市华利民科技开发有限公司,深圳市福田区华强北路现代之窗大厦B座17G,20-99人,http://www.szhlm.com,大专,"['职位描述', '1、与供应商和客户对接，核对好公司销售及采购单据，催收货款', '2、负责公司银行交易明细的录入', '3、公司各项采购及销售合同的审核', '4、编织财务报表，统计销售数据', '5、发票的购入、开具、认证以及每月各项税费的申报工作', '6、完成上级交代的任务', '查看全部內容']",1-3年,通信/电信运营、增值服务,CZ258905910J00209072508.html,深圳,招1人,合资,4001-6000元/月,会计
深圳市众祥安全科技有限公司,深圳市龙岗区坂田街道坂田高新技术工业园一号楼微谷120,100-499人,http://www.volks-safety.com/,本科,"['职位描述', '职位描述', '职责：', '1、负责公司产品拍摄、', '图片处理；', '2、宣传册设计、制作；', '3、网站和公众号的信息更新维护；', '4、公司VI设计；', '5、展会布置', '职位要求：', '熟练使用ps、CDR和其他图片编辑软件；', '查看全部內容']",1-3年,电气/电力/水利,CZ717859740J00188708807.html,深圳,招1人,民营,6000-8000元/月,平面设计
三千茶农茶业集团股份有限公司,济南市槐荫区南辛庄泉景同润商务大厦4楼408室,100-499人,http://www.3000chanong.com,学历不限,"['技能要求:', '\ufeff销售，客户代表，营销，销售顾问', '职位描述', '岗位职责：', '1.对咨询客户进行信息回访，向客户解说项目、分析项目、解决疑难问题。', '2.建立对意向客户的信任，对客户进行邀约，完成销售工作。', '3.公司提供相关岗位培训，信息中心提供意向客户资源，无需自己找客户。', '4.无需出差，工作稳定。', '要求：', '男女不限，性别不限，年龄33岁以下', '1.语言表达流利，善于与人沟通；', '2.具有良好的团队合作意识，责任心强；', '3.一经录用提供广阔的发展平台；', '福利待遇：', '1、缴纳五险；', '2.岗前带薪培训计划；', '3.入职后提供各类职业发展培训，和晋升空间、发展平台；', '5.丰富的员工活动（各类员工活动、部门聚会等）；', '薪资待遇：', 'A、无责底薪3000+提成+奖金，高者可达2万以上，上不封顶，多劳多得；', 'B、公平公正公开的晋升体系，欢迎多才多艺的你的加入！', '上班时间：早上8:30点到下午5:30点 .月休四天可自由调休 超长带薪年假', '缴纳社保，不定期旅游、各种节日福利', 'C、我们给的不是一个岗位，给的是每一个敢想敢做的有志青年一个美好的未来，因为我们没有背景，没有资金，我们缺的就是一个改变命运的平台！让我们一起努力，济南三千茶农茶业有限公司欢迎你！', '本公司郑重承诺：所有岗位入职不收取任何费用，且公司免费提供岗位技能培训！', '查看全部內容']",经验不限,快速消费品（食品/饮料/烟酒/日化）,544180926250395.html,济南,招5人,民营,5000-10000元/月,无责底薪3000无加班高提成聘销售
杭州助拍信息技术有限公司,杭州市西湖区通普路中天MCC 2幢601室,20-99人,http://hangzhou.51zhupai.com/,大专,"['职位描述', '岗位职责：', '1、 根据国家法律和公司财务制度，进行资金处理；', '2、 负责公司银行帐和现金账往来；', '3、 支付款项时必须是凭据审核无误，手续齐全的情况下，方予支付。对手续不交备的付款要求有权拒绝；', '4、 现金、印鉴章、支票保管必须遵循国家和企业相应规定，并承担相应责任；', '5、 及时掌握银行存款动态，根据公司领导的需要，编制各种资金流动报表；', '6、支票填写必须规范，尽量避免差错。', '7、完成领导交给的其他工作。', '任职要求：', '1、大专以上学历，优秀应届生/实习生亦可', '2、了解财务操作流程；', '3、工作认真负责，耐心细致，有良好的沟通能力和团队合作意识；', '4、熟练计算机操作，能熟练使用财务软件和办公管理软件；', '5、有相关互联网出纳工作经验者优先。', '查看全部內容']",1-3年,互联网/电子商务,CC419077337J00217144706.html,杭州,招1人,民营,4001-6000元/月,出纳
成都不赚酒业销售有限公司,光华东三路486号中铁西城写字楼5栋707,500-999人,,学历不限,"['职位描述', '岗位描述：', '1、负责客户关系沟通、网上订单处理及跟踪；', '2、负责接听客服热线、在线解答用户咨询，解决客户问题、详细做好问题记录；', '3、负责收集和整理客户建议，跟踪问题解决进度，并及时回复客户；', '4、负责定期与客户进行沟通，建立良好的长期客户关系。', '任职要求：', '1.不限学历，性别不限，专业不限；', '2.对销售工作有着强烈的兴趣，能熟练运用微信等网络聊天工具；', '3.头脑灵活，善于与人交流，执行力强，成功欲强；', '4.有责任心，能承受一定压力；', '5.具备良好的客户沟通、营销能力，表达能力强，诚恳，务实，具有一定的亲和力。', '查看全部內容']",经验不限,互联网/电子商务,CC841799800J00293176605.html,成都,招5人,民营,4001-6000元/月,呼叫中心客服
